Year,SERIES,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2000,EN_ATM_CO2,,T,2023-02-23,13.18
2001,EN_ATM_CO2,,T,2023-02-23,13.22
2002,EN_ATM_CO2,,T,2023-02-23,12.05
2003,EN_ATM_CO2,,T,2023-02-23,9.94
2004,EN_ATM_CO2,,T,2023-02-23,9.47
2005,EN_ATM_CO2,,T,2023-02-23,10.22
2006,EN_ATM_CO2,,T,2023-02-23,9.52
2007,EN_ATM_CO2,,T,2023-02-23,9.6
2008,EN_ATM_CO2,,T,2023-02-23,7.56
2009,EN_ATM_CO2,,T,2023-02-23,7.3
2010,EN_ATM_CO2,,T,2023-02-23,9.21
2011,EN_ATM_CO2,,T,2023-02-23,10.98
2012,EN_ATM_CO2,,T,2023-02-23,11.39
2013,EN_ATM_CO2,,T,2023-02-23,11.75
2014,EN_ATM_CO2,,T,2023-02-23,11.52
2015,EN_ATM_CO2,,T,2023-02-23,11.4
2016,EN_ATM_CO2,,T,2023-02-23,9.99
2017,EN_ATM_CO2,,T,2023-02-23,9.31
2018,EN_ATM_CO2,,T,2023-02-23,10.51
2019,EN_ATM_CO2,,T,2023-02-23,9.71
2020,EN_ATM_CO2,,T,2023-02-23,7.82
2000,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,2.73
2001,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,2.33
2002,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,2.11
2003,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.9
2004,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.47
2005,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.53
2006,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.92
2007,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,2.07
2008,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.2
2009,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.54
2010,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.12
2011,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.35
2012,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.53
2013,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.94
2014,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.97
2015,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.98
2016,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.98
2017,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.01
2018,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.06
2019,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,1.0
2020,EN_ATM_CO2,ISIC4_C10T32X19,T,2023-02-23,0.95
2000,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.4
2001,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.396
2002,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.396
2003,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.394
2004,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.398
2005,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.456
2006,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.439
2007,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.46
2008,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.44
2009,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.38
2010,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.4
2011,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.417
2012,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.371
2013,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.376
2014,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.359
2015,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.35
2016,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.304
2017,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.271
2018,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.292
2019,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.287
2020,EN_ATM_CO2GDP,,KG_PER_CON_USD,2023-02-23,0.246
2000,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.778
2001,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.622
2002,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.637
2003,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.601
2004,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.358
2005,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.372
2006,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.778
2007,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,2.019
2008,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,1.255
2009,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.447
2010,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.535
2011,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.566
2012,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.609
2013,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.377
2014,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.41
2015,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.413
2016,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.411
2017,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.418
2018,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.432
2019,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.457
2020,EN_ATM_CO2MVA,ISIC4_C,KG_PER_CON_USD,2023-04-26,0.533
