Year,SERIES,PRODUCT,Value
2005,TM_TAX_WMFN,,12.09914
2010,TM_TAX_WMFN,,21.40229
2015,TM_TAX_WMFN,,13.08225
2016,TM_TAX_WMFN,,10.8098
2017,TM_TAX_WMFN,,9.53118
2018,TM_TAX_WMFN,,9.53118
2019,TM_TAX_WMFN,,8.62
2020,TM_TAX_WMFN,,9.53937
2021,TM_TAX_WMFN,,10.10229
2005,TM_TAX_WMFN,AGG_AGR,25.34329
2010,TM_TAX_WMFN,AGG_AGR,24.11141
2015,TM_TAX_WMFN,AGG_AGR,17.07512
2016,TM_TAX_WMFN,AGG_AGR,16.72226
2017,TM_TAX_WMFN,AGG_AGR,12.23705
2018,TM_TAX_WMFN,AGG_AGR,12.23705
2019,TM_TAX_WMFN,AGG_AGR,13.7287
2020,TM_TAX_WMFN,AGG_AGR,10.14599
2021,TM_TAX_WMFN,AGG_AGR,16.62078
2005,TM_TAX_WMFN,AGG_ARMS,19.14216
2010,TM_TAX_WMFN,AGG_ARMS,13.44687
2015,TM_TAX_WMFN,AGG_ARMS,12.45727
2016,TM_TAX_WMFN,AGG_ARMS,12.98077
2017,TM_TAX_WMFN,AGG_ARMS,18.34152
2018,TM_TAX_WMFN,AGG_ARMS,18.34152
2019,TM_TAX_WMFN,AGG_ARMS,12.98729
2020,TM_TAX_WMFN,AGG_ARMS,7.32035
2021,TM_TAX_WMFN,AGG_ARMS,9.95539
2005,TM_TAX_WMFN,AGG_CLTH,199.00933
2010,TM_TAX_WMFN,AGG_CLTH,204.67626
2015,TM_TAX_WMFN,AGG_CLTH,67.9746
2016,TM_TAX_WMFN,AGG_CLTH,68.23605
2017,TM_TAX_WMFN,AGG_CLTH,68.65968
2018,TM_TAX_WMFN,AGG_CLTH,68.65968
2019,TM_TAX_WMFN,AGG_CLTH,65.40739
2020,TM_TAX_WMFN,AGG_CLTH,69.59703
2021,TM_TAX_WMFN,AGG_CLTH,66.59675
2005,TM_TAX_WMFN,AGG_IND,9.48043
2010,TM_TAX_WMFN,AGG_IND,19.50486
2015,TM_TAX_WMFN,AGG_IND,11.87882
2016,TM_TAX_WMFN,AGG_IND,9.16636
2017,TM_TAX_WMFN,AGG_IND,8.29205
2018,TM_TAX_WMFN,AGG_IND,8.29205
2019,TM_TAX_WMFN,AGG_IND,7.74398
2020,TM_TAX_WMFN,AGG_IND,9.04373
2021,TM_TAX_WMFN,AGG_IND,8.67572
2005,TM_TAX_WMFN,AGG_OIL,10.0
2010,TM_TAX_WMFN,AGG_OIL,10.0
2015,TM_TAX_WMFN,AGG_OIL,10.0
2016,TM_TAX_WMFN,AGG_OIL,10.0
2017,TM_TAX_WMFN,AGG_OIL,10.0
2018,TM_TAX_WMFN,AGG_OIL,10.0
2019,TM_TAX_WMFN,AGG_OIL,10.0
2020,TM_TAX_WMFN,AGG_OIL,10.0
2021,TM_TAX_WMFN,AGG_OIL,10.0
2005,TM_TAX_WMFN,AGG_TXT,37.87554
2010,TM_TAX_WMFN,AGG_TXT,56.30744
2015,TM_TAX_WMFN,AGG_TXT,22.4736
2016,TM_TAX_WMFN,AGG_TXT,22.42549
2017,TM_TAX_WMFN,AGG_TXT,31.51829
2018,TM_TAX_WMFN,AGG_TXT,31.51829
2019,TM_TAX_WMFN,AGG_TXT,25.24154
2020,TM_TAX_WMFN,AGG_TXT,17.14528
2021,TM_TAX_WMFN,AGG_TXT,18.96357
2005,TM_TAX_WMPS,,8.2722
2010,TM_TAX_WMPS,,20.41719
2015,TM_TAX_WMPS,,6.67728
2016,TM_TAX_WMPS,,4.38881
2017,TM_TAX_WMPS,,3.5852
2018,TM_TAX_WMPS,,3.5852
2019,TM_TAX_WMPS,,4.14746
2020,TM_TAX_WMPS,,4.09521
2021,TM_TAX_WMPS,,4.45431
2005,TM_TAX_WMPS,AGG_AGR,11.96763
2010,TM_TAX_WMPS,AGG_AGR,21.12954
2015,TM_TAX_WMPS,AGG_AGR,3.14253
2016,TM_TAX_WMPS,AGG_AGR,2.68505
2017,TM_TAX_WMPS,AGG_AGR,1.34846
2018,TM_TAX_WMPS,AGG_AGR,1.34846
2019,TM_TAX_WMPS,AGG_AGR,3.1939
2020,TM_TAX_WMPS,AGG_AGR,2.45794
2021,TM_TAX_WMPS,AGG_AGR,4.33394
2005,TM_TAX_WMPS,AGG_ARMS,18.9951
2010,TM_TAX_WMPS,AGG_ARMS,13.44687
2015,TM_TAX_WMPS,AGG_ARMS,4.78632
2016,TM_TAX_WMPS,AGG_ARMS,4.95727
2017,TM_TAX_WMPS,AGG_ARMS,2.22359
2018,TM_TAX_WMPS,AGG_ARMS,2.22359
2019,TM_TAX_WMPS,AGG_ARMS,2.96527
2020,TM_TAX_WMPS,AGG_ARMS,0.50429
2021,TM_TAX_WMPS,AGG_ARMS,0.56331
2005,TM_TAX_WMPS,AGG_CLTH,156.21034
2010,TM_TAX_WMPS,AGG_CLTH,185.90221
2015,TM_TAX_WMPS,AGG_CLTH,15.37777
2016,TM_TAX_WMPS,AGG_CLTH,15.41595
2017,TM_TAX_WMPS,AGG_CLTH,14.88223
2018,TM_TAX_WMPS,AGG_CLTH,14.88223
2019,TM_TAX_WMPS,AGG_CLTH,17.37642
2020,TM_TAX_WMPS,AGG_CLTH,30.40483
2021,TM_TAX_WMPS,AGG_CLTH,32.66694
2005,TM_TAX_WMPS,AGG_IND,7.06533
2010,TM_TAX_WMPS,AGG_IND,19.0464
2015,TM_TAX_WMPS,AGG_IND,7.31366
2016,TM_TAX_WMPS,AGG_IND,4.6029
2017,TM_TAX_WMPS,AGG_IND,3.84882
2018,TM_TAX_WMPS,AGG_IND,3.84882
2019,TM_TAX_WMPS,AGG_IND,3.9899
2020,TM_TAX_WMPS,AGG_IND,4.36138
2021,TM_TAX_WMPS,AGG_IND,4.31662
2005,TM_TAX_WMPS,AGG_OIL,10.0
2010,TM_TAX_WMPS,AGG_OIL,10.0
2015,TM_TAX_WMPS,AGG_OIL,0.0
2016,TM_TAX_WMPS,AGG_OIL,0.0
2017,TM_TAX_WMPS,AGG_OIL,0.90909
2018,TM_TAX_WMPS,AGG_OIL,0.90909
2019,TM_TAX_WMPS,AGG_OIL,4.46849
2020,TM_TAX_WMPS,AGG_OIL,0.02201
2021,TM_TAX_WMPS,AGG_OIL,2.56866
2005,TM_TAX_WMPS,AGG_TXT,32.24863
2010,TM_TAX_WMPS,AGG_TXT,54.78825
2015,TM_TAX_WMPS,AGG_TXT,9.39464
2016,TM_TAX_WMPS,AGG_TXT,9.4007
2017,TM_TAX_WMPS,AGG_TXT,21.35776
2018,TM_TAX_WMPS,AGG_TXT,21.35776
2019,TM_TAX_WMPS,AGG_TXT,16.48681
2020,TM_TAX_WMPS,AGG_TXT,7.44349
2021,TM_TAX_WMPS,AGG_TXT,9.57255
